00:25:53.663:DEBUG:exporter: got next (rank 79), qsize 1, len(players) = 17
00:25:53.663:DEBUG:exporter: got next (rank 80), qsize 0, len(players) = 18
00:25:53.809:DEBUG:exporter: got next (rank 81), qsize 5, len(players) = 19
00:25:53.810:DEBUG:exporter: got next (rank 82), qsize 9, len(players) = 20
00:25:53.810:DEBUG:exporter: got next (rank 83), qsize 8, len(players) = 21
00:25:53.811:DEBUG:exporter: got next (rank 84), qsize 7, len(players) = 22
00:25:53.811:DEBUG:exporter: got next (rank 85), qsize 6, len(players) = 23
00:25:53.811:DEBUG:exporter: got next (rank 86), qsize 5, len(players) = 24
00:25:53.812:DEBUG:exporter: got next (rank 87), qsize 4, len(players) = 25
00:25:53.812:DEBUG:exporter: got next (rank 88), qsize 3, len(players) = 26
00:25:53.812:DEBUG:exporter: got next (rank 89), qsize 2, len(players) = 27
00:25:53.812:DEBUG:exporter: got next (rank 90), qsize 1, len(players) = 28
00:25:53.813:DEBUG:exporter: got next (rank 91), qsize 0, len(players) = 29
00:25:54.054:DEBUG:exporter: got next (rank 92), qsize 1, len(players) = 30
00:25:54.055:DEBUG:exporter: got next (rank 93), qsize 0, len(players) = 31
00:25:54.154:DEBUG:exporter: got next (rank 94), qsize 4, len(players) = 32
00:25:54.154:DEBUG:exporter: got next (rank 95), qsize 3, len(players) = 33
00:25:54.155:DEBUG:exporter: got next (rank 96), qsize 2, len(players) = 34
00:25:54.155:DEBUG:exporter: got next (rank 97), qsize 1, len(players) = 35
00:25:54.155:DEBUG:exporter: got next (rank 98), qsize 0, len(players) = 36
00:25:54.208:DEBUG:exporter: got next (rank 99), qsize 1, len(players) = 37
00:25:54.208:DEBUG:exporter: got next (rank 100), qsize 0, len(players) = 38
00:25:54.297:DEBUG:exporter: got next (rank 101), qsize 2, len(players) = 39
00:25:54.297:DEBUG:exporter: got next (rank 102), qsize 1, len(players) = 40
00:25:54.297:DEBUG:exporter: got next (rank 103), qsize 0, len(players) = 41
00:25:54.311:DEBUG:exporter: got next (rank 104), qsize 1, len(players) = 42
00:25:54.311:DEBUG:exporter: got next (rank 105), qsize 0, len(players) = 43
00:25:54.315:DEBUG:exporter: got next (rank 106), qsize 0, len(players) = 44
00:25:54.623:DEBUG:exported 45 documents: (ranks 62-106)
00:25:54.647:DEBUG:exporter: got next (rank 107), qsize 5, len(players) = 0
00:25:54.647:DEBUG:exporter: got next (rank 108), qsize 4, len(players) = 1
00:25:54.647:DEBUG:exporter: got next (rank 109), qsize 3, len(players) = 2
00:25:54.647:DEBUG:exporter: got next (rank 110), qsize 2, len(players) = 3
00:25:54.648:DEBUG:exporter: got next (rank 111), qsize 1, len(players) = 4
00:25:54.648:DEBUG:exporter: got next (rank 112), qsize 0, len(players) = 5
00:25:54.652:DEBUG:exporter: got next (rank 113), qsize 3, len(players) = 6
00:25:54.652:DEBUG:exporter: got next (rank 114), qsize 2, len(players) = 7
00:25:54.652:DEBUG:exporter: got next (rank 115), qsize 1, len(players) = 8
00:25:54.653:DEBUG:exporter: got next (rank 116), qsize 0, len(players) = 9
00:25:54.756:DEBUG:exporter: got next (rank 117), qsize 4, len(players) = 10
00:25:54.756:DEBUG:exporter: got next (rank 118), qsize 3, len(players) = 11
00:25:54.756:DEBUG:exporter: got next (rank 119), qsize 2, len(players) = 12
00:25:54.757:DEBUG:exporter: got next (rank 120), qsize 1, len(players) = 13
00:25:54.757:DEBUG:exporter: got next (rank 121), qsize 0, len(players) = 14
00:25:54.800:DEBUG:exporter: got next (rank 122), qsize 0, len(players) = 15
00:25:54.963:DEBUG:exporter: got next (rank 123), qsize 1, len(players) = 16
00:25:54.963:DEBUG:exporter: got next (rank 124), qsize 0, len(players) = 17
00:25:55.004:DEBUG:exporter: got next (rank 125), qsize 1, len(players) = 18
00:25:55.004:DEBUG:exporter: got next (rank 126), qsize 0, len(players) = 19
00:25:55.113:DEBUG:exporter: got next (rank 127), qsize 5, len(players) = 20
00:25:55.114:DEBUG:exporter: got next (rank 128), qsize 4, len(players) = 21
00:25:55.114:DEBUG:exporter: got next (rank 129), qsize 3, len(players) = 22
00:25:55.114:DEBUG:exporter: got next (rank 130), qsize 2, len(players) = 23
00:25:55.115:DEBUG:exporter: got next (rank 131), qsize 1, len(players) = 24
00:25:55.115:DEBUG:exporter: got next (rank 132), qsize 0, len(players) = 25
00:25:55.232:DEBUG:exporter: got next (rank 133), qsize 4, len(players) = 26
00:25:55.232:DEBUG:exporter: got next (rank 134), qsize 3, len(players) = 27
00:25:55.232:DEBUG:exporter: got next (rank 135), qsize 2, len(players) = 28
00:25:55.232:DEBUG:exporter: got next (rank 136), qsize 1, len(players) = 29
00:25:55.233:DEBUG:exporter: got next (rank 137), qsize 0, len(players) = 30
00:25:55.250:DEBUG:exporter: got next (rank 138), qsize 0, len(players) = 31
00:25:55.364:DEBUG:exporter: got next (rank 139), qsize 0, len(players) = 32
00:25:55.409:DEBUG:exporter: got next (rank 140), qsize 1, len(players) = 33
00:25:55.410:DEBUG:exporter: got next (rank 141), qsize 0, len(players) = 34
00:25:55.460:DEBUG:exporter: got next (rank 142), qsize 0, len(players) = 35
00:25:55.561:DEBUG:exporter: got next (rank 143), qsize 6, len(players) = 36
00:25:55.561:DEBUG:exporter: got next (rank 144), qsize 5, len(players) = 37
00:25:55.561:DEBUG:exporter: got next (rank 145), qsize 4, len(players) = 38
00:25:55.562:DEBUG:exporter: got next (rank 146), qsize 3, len(players) = 39
00:25:55.562:DEBUG:exporter: got next (rank 147), qsize 2, len(players) = 40
00:25:55.562:DEBUG:exporter: got next (rank 148), qsize 1, len(players) = 41
00:25:55.562:DEBUG:exporter: got next (rank 149), qsize 0, len(players) = 42
00:25:55.680:DEBUG:exporter: got next (rank 150), qsize 1, len(players) = 43
